FILENAME,LIBRARY NAME,SUPPLIER,URL
Alien Beast Small - Short 7.wav,Alien Voices,Gage Freeman,https://sonniss.com/sound-effects/alien-voices/
Deep Alien Robot - Long 2.wav,Alien Voices,Gage Freeman,https://sonniss.com/sound-effects/alien-voices/
Female Alien Robot - Long 3.wav,Alien Voices,Gage Freeman,https://sonniss.com/sound-effects/alien-voices/
Aerosol Spray Short.wav,Bathroom Sounds,Gage Freeman,https://sonniss.com/sound-effects/bathroom-sounds/
Pee Long.wav,Bathroom Sounds,Gage Freeman,https://sonniss.com/sound-effects/bathroom-sounds/
Shower 1 Minute 2.wav,Bathroom Sounds,Gage Freeman,https://sonniss.com/sound-effects/bathroom-sounds/
Toilet Flush Long.wav,Bathroom Sounds,Gage Freeman,https://sonniss.com/sound-effects/bathroom-sounds/
Bass Gritty Wobble.wav,Bass Weight - Low End Elements,Glitchedtones,https://sonniss.com/sound-effects/bass-weight-elements/
Bass Sub Wub 02.wav,Bass Weight - Low End Elements,Glitchedtones,https://sonniss.com/sound-effects/bass-weight-elements/
EMF Android Box 02.wav,Electromagnetic Field,Glitchedtones,https://sonniss.com/sound-effects/electromagnetic-field/
EMF Cellphone Loop 01.wav,Electromagnetic Field,Glitchedtones,https://sonniss.com/sound-effects/electromagnetic-field/
EMF Extractor Fan Box 01.wav,Electromagnetic Field,Glitchedtones,https://sonniss.com/sound-effects/electromagnetic-field/
EMF Monitor Speaker Abuse 01.wav,Electromagnetic Field,Glitchedtones,https://sonniss.com/sound-effects/electromagnetic-field/
High Frequency Feedback Loop 11.wav,High Frequency Feedback Loops,Glitchedtones,https://sonniss.com/sound-effects/high-frequency-feedback-loops/
High Frequency Feedback Loop 30.wav,High Frequency Feedback Loops,Glitchedtones,https://sonniss.com/sound-effects/high-frequency-feedback-loops/
High Frequency Feedback Loop 37.wav,High Frequency Feedback Loops,Glitchedtones,https://sonniss.com/sound-effects/high-frequency-feedback-loops/
Abstract FX 01.wav,Paranormal,Glitchedtones,https://sonniss.com/sound-effects/paranormal/
Drone Short 01.wav,Paranormal,Glitchedtones,https://sonniss.com/sound-effects/paranormal/
Eerie Passby 06.wav,Paranormal,Glitchedtones,https://sonniss.com/sound-effects/paranormal/
Vocal Ghost We Are Coming For You 02.wav,Paranormal,Glitchedtones,https://sonniss.com/sound-effects/paranormal/
Retro Video Game FX (2).wav,Retro Video Game FX,Glitchedtones,https://sonniss.com/sound-effects/retro-video-game-fx/
Retro Video Game FX (8).wav,Retro Video Game FX,Glitchedtones,https://sonniss.com/sound-effects/retro-video-game-fx/
Retro Video Game FX (10).wav,Retro Video Game FX,Glitchedtones,https://sonniss.com/sound-effects/retro-video-game-fx/
Transition Alien Sonar 03.wav,Scene Switch- Transitions & Textures,Glitchedtones,https://sonniss.com/sound-effects/scene-switch-transitions-textures/
Transition Synth Delay 03.wav,Scene Switch- Transitions & Textures,Glitchedtones,https://sonniss.com/sound-effects/scene-switch-transitions-textures/
Transition Synth Filter Drone.wav,Scene Switch- Transitions & Textures,Glitchedtones,https://sonniss.com/sound-effects/scene-switch-transitions-textures/
Zombie Groan Pitched Down (6).wav,Zombie,Glitchedtones,https://sonniss.com/sound-effects/zombie/
Zombie Subject B Groan (8).wav,Zombie,Glitchedtones,https://sonniss.com/sound-effects/zombie/
Zombie Subject B Hiss (1).wav,Zombie,Glitchedtones,https://sonniss.com/sound-effects/zombie/
Zombie Subject C Zombie Brat Groan (9).wav,Zombie,Glitchedtones,https://sonniss.com/sound-effects/zombie/
Combat_Triple_Combo_Hit.wav,Super FX 8 and 16-bit Video Game SFX,Impact Soundworks,https://sonniss.com/sound-effects/super-fx-8-16-bit-video-game-sfx/
Magic_Teleport.wav,Super FX 8 and 16-bit Video Game SFX,Impact Soundworks,https://sonniss.com/sound-effects/super-fx-8-16-bit-video-game-sfx/
Misc_Glass_Crystal_Shatter.wav,Super FX 8 and 16-bit Video Game SFX,Impact Soundworks,https://sonniss.com/sound-effects/super-fx-8-16-bit-video-game-sfx/
UI_Level_Up.wav,Super FX 8 and 16-bit Video Game SFX,Impact Soundworks,https://sonniss.com/sound-effects/super-fx-8-16-bit-video-game-sfx/
Farting_Wet_Long_02.wav,44.1 General Library,InspectorJ,https://sonniss.com/sound-effects/44-1-general-library/
